Name,Type,Agency,Dept.,URL,Handle,Abandoned,Personal Account
Bi-State Development Agency of the Missouri-Illinois Metropolitan District,YouTube,Economic Development,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,https://www.youtube.com/user/MetroStLouisTransit,MetroStLouisTransit,,
Public Service Commission,YouTube,Economic Development,Public Service Commission,https://www.youtube.com/user/MissouriPSC,MissouriPSC,,
Department of Economic Development,YouTube,Economic Development,Department of Economic Development,https://www.youtube.com/user/MoEcoDev,MoEcoDev,,
Division of Tourism - News Bureau,YouTube,Economic Development,Division of Tourism,https://www.youtube.com/user/MoTourismNewsBureau,MoTourismNewsBureau,,
Missouri Workforce Development,YouTube,Economic Development,Division of Workforce Development,https://www.youtube.com/user/moworkforce1,moworkforce1,,
St. Louis Convention and Visitors Commission,YouTube,Economic Development,St. Louis Convention and Visitors Commission,https://www.youtube.com/user/stlouiscvc,stlouiscvc,,
Division of Tourism,YouTube,Economic Development,Division of Tourism,https://www.youtube.com/user/VisitMO,VisitMO,,
Missouri Developmental Disability Council,YouTube,Mental Health,Missouri Developmental Disabilities Council,https://www.youtube.com/user/MissouriDDCouncil,MissouriDDCouncil,,
Department of Mental Health,YouTube,Mental Health,Department of Mental Health,https://www.youtube.com/user/MissouriDMH,MissouriDMH,,
Department of Natural Resources,YouTube,Natural Resources,Department of Natural Resources,https://www.youtube.com/user/MissouriDNR,MissouriDNR,,
Division of State Parks,YouTube,Natural Resources,Division of State Parks,https://www.youtube.com/user/MissouriStateParks,MissouriStateParks,,
ShakeOut Video Contest,YouTube,Natural Resources,Department of Public Safety,https://www.youtube.com/user/shakeoutmissouri,shakeoutmissouri,,
Department of Health and Senior Services,YouTube,Health,Department of Health & Senior Services,https://www.youtube.com/user/MODHSS,MODHSS,,
Missouri Wine and Grape Board,YouTube,Agriculture,Wine and Grape Board,https://www.youtube.com/user/MissouriWine,MissouriWine,,
Department of Agriculture,YouTube,Agriculture,Department of Agriculture,https://www.youtube.com/user/MoAgriculture,MoAgriculture,,
Missouri State Fair,YouTube,Agriculture,State Fair Commission,https://www.youtube.com/user/MOStateFair,MOStateFair,,
Department of Labor & Industrial Relations,YouTube,Labor,Department of Labor and Industrial Relations,https://www.youtube.com/MoLaborDept,MoLaborDept,,
Missouri Consolidated Health Care Plan (MCHCP),YouTube,Administration,Missouri Consolidated Health Care Plan (MCHCP),https://www.youtube.com/user/MCHCP,MCHCP,,
Children's Trust Fund,YouTube,Administration,Children's Trust Fund Board,https://www.youtube.com/user/MissouriCTF,MissouriCTF,,
Missouri State Employees' Retirement System Board of Trustees (MOSERS),YouTube,Administration,Missouri State Employees' Retirement System Board of Trustees (MOSERS),https://www.youtube.com/user/MOSERSOnline,MOSERSOnline,,
MO.gov - State of Missouri,YouTube,Administration,Office of Administration,https://youtube.com/mogov1,mogov1,,
Department of Social Services,YouTube,Social Services,Department of Social Services,https://www.youtube.com/channel/UCEGASvwkdOULiyHnNQzC6NQ,UCEGASvwkdOULiyHnNQzC6NQ,,
Earthquake Preparedness,YouTube,Public Safety,Department of Public Safety,https://www.youtube.com/user/moearthquake2011,moearthquake2011,,
Missouri National Guard,YouTube,Public Safety,Missouri National Guard,https://www.youtube.com/user/MoNationalGuard,MoNationalGuard,,
Department of Higher Education,YouTube,Higher Education,Department of Higher Education,https://www.youtube.com/user/MOHigherEducation,MOHigherEducation,,
Department of Revenue,YouTube,Revenue,Department of Revenue,https://www.youtube.com/user/MoRevenue,MoRevenue,,
Department of Elementary and Secondary Education,YouTube,Elementary and Secondary Education,Department of Elementary and Secondary Education,https://www.youtube.com/user/MODeptofEducation,MODeptofEducation,,
Missouri Family Career and Community Leaders of America (MoFCCLA),YouTube,Elementary and Secondary Education,Department of Elementary and Secondary Education,https://www.youtube.com/user/mofcclastateadvisor,mofcclastateadvisor,,
Department of  Insurance Financial Institutions and Professional Registration,YouTube,Insurance,Department of Insurance Financial Institutions and Professional Registration,https://www.youtube.com/user/missouridifp,missouridifp,,
Department of Conservation,YouTube,Conservation,Department of Conservation,https://www.youtube.com/user/moconservation,moconservation,,
Department of Corrections,YouTube,Corrections,Department of Corrections,https://www.youtube.com/user/MissouriCorrections,MissouriCorrections,,
Department of Transportation Southeast District,YouTube,Transportation,Department of Transportation,https://www.youtube.com/user/MoDOTSoutheast,MoDOTSoutheast,,
Department of Transportation,YouTube,Transportation,Department of Transportation,https://www.youtube.com/user/modotvideo,modotvideo,,
Kansas City Area Transportation Authority,YouTube,Transportation,Kansas City Area Transportation Authority,https://www.youtube.com/user/RideTheMetro,RideTheMetro,,
"Attorney General's Office - ""Personal""",YouTube,Attorney General,Attorney General,https://www.youtube.com/channel/UCJtRY4WXRxsISuoOlraD1sQ,UCJtRY4WXRxsISuoOlraD1sQ,,
Attorney General's Office,YouTube,Attorney General,Attorney General,https://www.youtube.com/user/moagoffice,moagoffice,,
"Secretary of State's Office - ""Personal""",YouTube,Secretary of State,Secretary of State,https://www.youtube.com/channel/UC30A5tCQXe8vDEGRzuGn_9g,UC30A5tCQXe8vDEGRzuGn_9g,,
Lieutenant Governor's Office,YouTube,Lieutenant Governor,Lieutenant Governor's Office,https://www.youtube.com/channel/UCwNFEbJTmALdxa3mfuSc3Ig,UCwNFEbJTmALdxa3mfuSc3Ig,,
Missouri Local Government Employees Retirement System Board of Trustees,YouTube,Missouri LAGERS,Missouri Local Government Employees Retirement System Board of Trustees,https://www.youtube.com/user/MOLAGERS,MOLAGERS,,
Missouri Bar,YouTube,Missouri Bar,Missouri Bar,https://www.youtube.com/user/MissouriBar,MissouriBar,,
Natural Resources Boards and Commissions,YouTube,Natural Resources,Department of Natural Resources,http://www.youtube.com/user/dnrcommissions,dnrcommissions,,
Missouri Partnership,YouTube,Economic Development,Economic Development,https://www.youtube.com/channel/UCxUGrW2AidqdUHBW8JApjfQ,channel/UCxUGrW2AidqdUHBW8JApjfQ,,
Missouri Department of Public Safety,YouTube,Public Safety,Department of Revenue,https://www.youtube.com/channel/UCAA1R4E3ugWCSlLjGEpJGaA,channel/UCAA1R4E3ugWCSlLjGEpJGaA,,
Missouri Fishing,YouTube,Conservation,Department of Conservation,https://www.youtube.com/channel/UCp0iTbeX0R-WXtPWvHltQWQ,channel/UCp0iTbeX0R-WXtPWvHltQWQ,,
Missouri Hunting,YouTube,Conservation,Department of Conservation,https://www.youtube.com/user/MOhunting/,user/MOhunting/,,
Missouri Outdoors Television Program Archive,YouTube,Conservation,Department of Conservation,https://www.youtube.com/user/mooutdoors/,user/mooutdoors/,,
MoDOT Northeast District,YouTube,Transportation,MoDOT Northeast District,https://www.youtube.com/channel/UCIDPhWy30JQbDvTX5Ez5Bfg,channel/UCIDPhWy30JQbDvTX5Ez5Bfg,,
Xplor Missouri Nature,YouTube,Conservation,Department of Conservation,https://www.youtube.com/channel/UCJSqO0zHUspzvAqvETaV7jg,channel/UCJSqO0zHUspzvAqvETaV7jg,,
MoDOT Southwest District,YouTube,Transportation,MoDOT Southwest District,https://www.youtube.com/user/MoDOTsouthwest/,user/MoDOTsouthwest/,,
State of Missouri Deferred Compensation,YouTube,Missouri Deferred Compensation,Missouri Deferred Compensation,https://www.youtube.com/user/MODeferredComp/,user/MODeferredComp/,,
